0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
162202,3894,5,23/02/2015,C,FALSE,R32,3,5476,ARG,,Q,128,431,,,24.988363,183,6051,ITA,,Q,150,336,,,22.398357,185,4-6 7-5 6-3,,2,1,17,14,0,0,TRUE,162202,0,130,3,1,86,54,32,23,15,3,7,2,1,105,74,44,14,16,1,7
176641,4242,294,24/02/2020,H,FALSE,QF,3,4544,USA,5,,20,1760,,,34.830936,206,26008,USA,,Q,66,792,,,22.773443,185,7-6(3) 3-6 6-2,,2,1,15,14,1,0,TRUE,176641,0,119,22,4,80,60,49,10,14,3,4,3,0,99,66,43,20,15,3,5
176622,4241,282,17/02/2020,C,FALSE,R32,3,25952,ITA,,Q,128,413,,,25.212868,185,34553,NOR,8,,34,1313,,,21.155373,183,7-6(4) 7-5,,2,0,13,11,1,0,TRUE,176622,0,111,8,0,81,60,46,15,12,7,7,7,1,83,61,43,14,12,5,6
177284,4256,300,26/10/2020,H,TRUE,F,3,25897,RUS,5,,8,3429,,,23.01711,188,32067,ITA,,LL,42,1253,,,25.462013,191,6-4 6-4,,2,0,12,8,0,0,TRUE,177284,0,78,6,0,50,30,26,15,10,2,2,7,0,61,38,25,13,10,2,4
175333,4208,277,19/08/2019,H,FALSE,R32,3,5922,SRB,8,,51,1018,,,27.474333,185,4606,CZE,,WC,101,530,,,33.919235,196,3-6 7-5 6-1,,2,1,16,12,0,0,TRUE,175333,0,105,9,1,82,46,32,17,14,7,12,9,5,70,38,26,11,14,3,10
175885,4222,264,28/10/2019,H,TRUE,R64,3,45105,AUS,,,18,1695,,,20.692677,183,11485,SRB,,,38,1161,,,24.405203,188,6-1 6-4,,2,0,12,5,0,0,TRUE,175885,0,67,3,3,49,30,25,7,9,0,2,4,1,49,29,19,5,8,1,6
176137,4228,249,6/01/2020,H,FALSE,RR,3,11547,RUS,,,17,1840,,,23.627653,198,5868,ITA,,,82,637,,,28.05202,185,7-5 6-3,,2,0,13,8,0,0,TRUE,176137,0,88,6,1,65,46,36,8,11,1,3,5,3,58,30,22,11,10,1,5
176599,4240,276,17/02/2020,H,TRUE,R32,3,22171,KAZ,,,55,930,,,22.669405,196,5902,HUN,,,73,762,,,28.024641,188,6-4 7-5,,2,0,13,9,0,0,TRUE,176599,0,84,4,2,70,40,31,14,11,6,8,3,5,62,35,23,13,11,4,8
172922,4145,286,24/09/2018,H,FALSE,R16,3,44824,CAN,,LL,147,402,,,18.12731,193,11176,KOR,2,,23,1630,,,22.349075,,7-6(2) 5-7 6-4,,2,1,17,17,1,0,TRUE,172922,0,156,11,6,104,69,50,20,17,5,8,6,0,120,79,51,23,17,7,10
165643,3973,276,18/04/2016,C,FALSE,R32,3,4654,URU,9,,25,1510,,,30.29432,180,5070,ESP,,,55,850,,,28.251883,188,6-4 7-5,,2,0,13,9,0,0,TRUE,165643,0,106,5,3,71,42,30,14,11,0,2,0,4,82,53,33,11,11,6,10
170692,4093,1101,2/02/2018,H,FALSE,RR,3,23588,COL,,,292,168,,,21.615332,191,4655,BAR,,,,,,,32.07392,,6-0 6-4,,2,0,12,4,0,0,TRUE,170692,0,59,2,1,50,32,23,12,8,3,3,2,2,47,23,14,10,8,1,5
168734,4045,298,1/05/2017,C,FALSE,SF,3,4180,LUX,3,,28,1425,,,33.979465,193,4728,RSA,,,66,775,,,30.954142,203,7-5 6-4,,2,0,13,9,0,0,TRUE,168734,0,98,8,1,70,50,34,12,11,4,5,6,2,66,43,29,13,11,8,11
165629,3973,255,18/04/2016,C,FALSE,R64,3,4470,CRO,,,79,704,,,31.290897,183,6384,ARG,,Q,242,214,,,21.01848,,5-7 6-2 6-4,,2,1,17,13,0,0,TRUE,165629,0,140,8,3,100,61,43,21,15,4,6,5,3,84,48,33,19,15,2,6
174189,4180,274,15/04/2019,C,FALSE,R32,3,644,GER,3,,3,6040,,,21.984941,198,44824,CAN,,WC,33,1245,,,18.683094,193,6-1 6-4,,2,0,12,5,0,0,TRUE,174189,0,78,0,3,47,32,21,7,8,1,3,1,5,53,26,12,10,9,1,7
174710,4192,281,17/06/2019,G,FALSE,R32,3,6418,CRO,4,,14,2615,,,22.587269,188,44493,ESP,,,88,630,,,22.116358,183,7-6(2) 6-3,,2,0,12,9,1,0,TRUE,174710,0,85,5,1,64,49,39,10,11,2,2,3,0,57,37,30,10,10,0,1
171681,4118,256,7/05/2018,C,FALSE,R64,3,4259,GER,,,28,1450,,,34.55715,178,5209,JPN,,,46,1070,,,29.63176,173,6-4 6-3,,2,0,12,7,0,0,TRUE,171681,0,68,4,0,40,29,25,11,9,0,0,2,3,65,38,29,11,10,8,11
174266,4182,299,22/04/2019,C,FALSE,SF,3,26413,ITA,,,55,927,,,23.025326,196,11485,SRB,5,,33,1246,,,23.887749,188,6-4 6-2,,2,0,12,6,0,0,TRUE,174266,0,79,4,2,49,30,26,12,9,1,1,3,3,52,32,24,7,9,2,5
166564,3993,297,18/07/2016,C,FALSE,QF,3,5577,AUT,,,107,575,,,26.015059,,3781,AUT,,WC,421,98,,,35.156742,183,3-6 6-3 6-1,,2,1,15,10,0,0,TRUE,166564,0,103,5,3,82,61,38,10,13,4,7,0,1,70,45,28,10,12,3,8
