,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
59,175579,4213,286,2019-09-23,H,False,R16,3,5131,ESP,2.0,,10,2530,,,31.441479,183.0,4664,ESP,,,53.0,1012.0,,,33.66461,180.0,7-5 7-5,,2,0,14,10,0,0,True,175579,0,112.0,7,1,66,43,32,8,12,1,4,1,2,75,43,29,12,12,5,10
60,172302,4131,293,2018-07-16,G,False,R16,3,5166,FRA,1.0,,26,1580,,,30.045174,183.0,11415,AUS,,,101.0,575.0,,,24.238194,183.0,6-2 7-6(4),,2,0,12,8,1,0,True,172302,0,101.0,4,3,77,41,27,19,10,4,7,4,3,70,45,21,14,10,3,8
61,172679,4141,300,2018-08-20,H,False,F,3,6407,RUS,,,57,952,,,22.52156,198.0,5438,USA,8.0,,34.0,1235.0,,,28.654346,188.0,6-4 6-4,,2,0,12,8,0,0,True,172679,0,84.0,8,7,62,33,29,14,10,1,1,8,2,63,37,28,12,10,6,8
62,161771,3882,14,2015-01-12,H,False,R16,3,5070,ESP,,,61,755,,,26.986996,188.0,4229,TPE,9.0,,46.0,888.0,,,31.4141,180.0,6-2 6-4,,2,0,12,6,0,0,True,161771,0,82.0,5,2,64,44,31,12,9,5,5,6,3,59,31,22,14,9,4,7
63,174741,4193,281,2019-06-17,G,False,R32,3,5216,ARG,3.0,,12,2695,,,30.729637,198.0,33214,CAN,,,25.0,1390.0,,,20.172485,185.0,7-5 6-4,,2,0,13,9,0,0,True,174741,0,76.0,11,2,61,44,34,11,11,0,0,10,2,58,32,23,17,11,1,3
64,165058,3960,278,2016-02-15,H,False,R32,3,11433,FRA,,WC,171,319,,,19.304586,,4095,FRA,,LL,193.0,281.0,,,33.18823,185.0,6-7(5) 6-2 6-3,,2,1,18,11,0,1,True,165058,0,127.0,17,7,104,58,44,20,15,6,8,1,4,92,53,31,20,14,5,10
65,177296,4256,288,2020-10-26,H,True,R16,3,6407,RUS,4.0,,6,5890,,,24.706366,198.0,5565,CAN,,Q,81.0,787.0,,,30.343601,193.0,4-6 6-3 6-2,,2,1,16,11,0,0,True,177296,0,118.0,17,4,82,51,41,18,14,5,6,14,2,89,52,40,14,13,6,9
66,172633,4141,239,2018-08-20,H,False,R64,3,5009,CRO,,LL,385,104,,,30.915812,193.0,5718,FRA,,,74.0,764.0,,,27.42505,188.0,6-2 6-3,,2,0,12,5,0,0,True,172633,0,75.0,2,4,57,29,21,14,8,2,3,5,3,54,32,17,11,9,6,11
67,173902,4175,286,2019-02-25,C,True,R16,3,11485,SRB,,,37,1127,,,23.734428,188.0,4291,TUN,2.0,,45.0,1007.0,,,35.099247,185.0,6-3 3-6 7-6(2),,2,1,15,15,1,0,True,173902,0,151.0,4,1,95,68,51,12,15,2,4,5,5,108,62,48,21,15,9,11
68,175600,4214,292,2019-09-30,H,False,R16,3,4913,GBR,,PR,503,57,,,32.377823,190.0,11787,GBR,,Q,69.0,855.0,,,24.104038,188.0,7-6(6) 6-7(4) 6-1,,2,1,18,13,1,1,True,175600,0,172.0,6,2,98,58,41,27,16,1,3,10,4,113,78,48,17,15,9,13
69,161931,3884,20,2015-02-02,H,False,R16,3,4467,FRA,2.0,,19,1730,,,30.099932,183.0,4273,FRA,,,127.0,425.0,,,31.181383,188.0,6-3 6-3,,2,0,12,6,0,0,True,161931,0,78.0,4,2,52,29,18,15,9,3,5,1,3,71,46,26,8,9,3,8
70,164393,3940,17,2015-10-19,H,False,R16,3,4894,NED,,,63,765,,,28.53662,190.0,4654,URU,5.0,,38.0,1100.0,,,29.79603,180.0,6-2 5-7 6-1,,2,1,17,10,0,0,True,164393,0,,3,2,79,41,27,23,14,1,4,5,2,77,57,34,7,13,2,8
71,167381,4012,278,2016-10-17,H,False,R32,3,5420,MDA,,,103,596,,,26.932238,175.0,5438,USA,5.0,,24.0,1645.0,,,26.81451,188.0,6-3 6-4,,2,0,12,7,0,0,True,167381,0,79.0,2,1,64,39,28,17,10,3,3,4,4,60,29,23,15,9,4,6
72,162202,3894,5,2015-02-23,C,False,R32,3,5476,ARG,,Q,128,431,,,24.988363,183.0,6051,ITA,,Q,150.0,336.0,,,22.398357,185.0,4-6 7-5 6-3,,2,1,17,14,0,0,True,162202,0,130.0,3,1,86,54,32,23,15,3,7,2,1,105,74,44,14,16,1,7
73,176641,4242,294,2020-02-24,H,False,QF,3,4544,USA,5.0,,20,1760,,,34.830936,206.0,26008,USA,,Q,66.0,792.0,,,22.773443,185.0,7-6(3) 3-6 6-2,,2,1,15,14,1,0,True,176641,0,119.0,22,4,80,60,49,10,14,3,4,3,0,99,66,43,20,15,3,5
74,176622,4241,282,2020-02-17,C,False,R32,3,25952,ITA,,Q,128,413,,,25.212868,185.0,34553,NOR,8.0,,34.0,1313.0,,,21.155373,183.0,7-6(4) 7-5,,2,0,13,11,1,0,True,176622,0,111.0,8,0,81,60,46,15,12,7,7,7,1,83,61,43,14,12,5,6
75,177284,4256,300,2020-10-26,H,True,F,3,25897,RUS,5.0,,8,3429,,,23.01711,188.0,32067,ITA,,LL,42.0,1253.0,,,25.462013,191.0,6-4 6-4,,2,0,12,8,0,0,True,177284,0,78.0,6,0,50,30,26,15,10,2,2,7,0,61,38,25,13,10,2,4
76,175333,4208,277,2019-08-19,H,False,R32,3,5922,SRB,8.0,,51,1018,,,27.474333,185.0,4606,CZE,,WC,101.0,530.0,,,33.919235,196.0,3-6 7-5 6-1,,2,1,16,12,0,0,True,175333,0,105.0,9,1,82,46,32,17,14,7,12,9,5,70,38,26,11,14,3,10
77,175885,4222,264,2019-10-28,H,True,R64,3,45105,AUS,,,18,1695,,,20.692677,183.0,11485,SRB,,,38.0,1161.0,,,24.405203,188.0,6-1 6-4,,2,0,12,5,0,0,True,175885,0,67.0,3,3,49,30,25,7,9,0,2,4,1,49,29,19,5,8,1,6
78,176137,4228,249,2020-01-06,H,False,RR,3,11547,RUS,,,17,1840,,,23.627653,198.0,5868,ITA,,,82.0,637.0,,,28.05202,185.0,7-5 6-3,,2,0,13,8,0,0,True,176137,0,88.0,6,1,65,46,36,8,11,1,3,5,3,58,30,22,11,10,1,5
79,176599,4240,276,2020-02-17,H,True,R32,3,22171,KAZ,,,55,930,,,22.669405,196.0,5902,HUN,,,73.0,762.0,,,28.024641,188.0,6-4 7-5,,2,0,13,9,0,0,True,176599,0,84.0,4,2,70,40,31,14,11,6,8,3,5,62,35,23,13,11,4,8
